Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,PTSD severity at three months,Escitalopram versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,8,,15,-11.35,-24.557214,1.857214,0.0,0.0,0,1.0,0.0,1.684352,0.092114,,,,,analysis:427691932799336229
1,2,PTSD severity at study endpoint,Escitalopram versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,127,,128,3.335433,-10.720316,17.391182,118.752051,10.773732,2,0.004576,81.436331,0.4651,0.64186,,,,,analysis:427541821751405703
1,3,Dropouts due to adverse events at three months,Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,0,13,0,18,,,,,,,,,,,,,,,analysis:427691932799336231
1,4,Dropouts due to adverse events at study endpoint,Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,0,13,0,18,,,,,,,,,,,,,,,analysis:437392862096942190
1,5,PTSD rate at three months,Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,0,8,1,15,0.592593,0.026839,13.08439,0.0,0.0,0,1.0,0.0,0.331392,0.740349,,,,,analysis:427691932799336233
1,6,Sensitivity analysis: PTSD rate at three months (cases out of randomised),Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,0,13,1,18,0.452381,0.019871,10.298933,0.0,0.0,0,0.0,100.0,0.497462,0.618863,,,,,analysis:427745766808791722
1,7,PTSD rate at study endpoint,Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,6,20,6,27,1.153846,0.491324,2.70974,0.0,0.0,0,1.0,0.0,0.328518,0.74252,,,,,analysis:427541821751405709
1,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),Escitalopram versus placebo,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,6,36,6,41,1.0,0.378002,2.645486,0.0,0.0,0,1.0,0.0,0.0,1.0,,,,,analysis:427745766808791724
1,9,Depression severity at three months,Escitalopram versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,8,,15,-5.07,-9.754366,-0.385634,0.0,0.0,0,1.0,0.0,2.121315,0.033895,,,,,analysis:427691932799336235
1,10,Depression severity at study endpoint,Escitalopram versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Std. Mean Difference,,Random effect,true,true,true,false,95%,95%,,20,,27,-0.499837,-1.091756,0.092082,0.0,0.146875,1,0.70154,0.0,1.655061,0.097912,,,,,analysis:427541821751405706
