Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Functional disability component related to tremor,Change in TRS subscale B score,1,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,-10.3,12.6,0,108,-4.9,9.5,0,100,0.0,0.0,100.0,-5.4,-8.418917,-2.381083,
1,1,Functional disability component related to tremor,Change in TRS subscale C score,2,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,-9.4,13.3,0,108,-3.7,8.8,0,100,0.0,0.0,100.0,-5.7,-8.744115,-2.655885,
1,1,Functional disability component related to tremor,Change in TRS total score,3,SUBGROUP_AND_OVERALL,Carrasco Vargas 2011,2011,0.0,0.0,-15.7,4.5,0,12,-0.2,1.6,0,12,0.0,0.0,34.419634,-15.5,-18.202216,-12.797784,
1,1,Functional disability component related to tremor,Change in TRS total score,3,SUBGROUP_AND_OVERALL,Connor 2008,2008,0.0,0.0,-8.6,6.6,0,17,-2.0,4.7,0,24,0.0,0.0,18.78562,-6.6,-10.25772,-2.94228,
1,1,Functional disability component related to tremor,Change in TRS total score,3,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,-10.8,9.5,0,108,-5.8,7.5,0,100,0.0,0.0,46.794746,-5.0,-7.317526,-2.682474,
1,2,Withdrawals,Withdrawals: lack of efficacy,1,SUBGROUP_AND_OVERALL,Connor 2008,2008,0.0,0.0,0.0,0.0,0,30,0.0,0.0,0,32,0.0,0.0,,,,,
1,2,Withdrawals,Withdrawals: lack of efficacy,1,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,0.0,0.0,1,117,0.0,0.0,5,106,0.0,0.0,100.0,0.181197,0.021514,1.526097,
1,2,Withdrawals,Withdrawals: AEs,2,SUBGROUP_AND_OVERALL,Connor 2008,2008,0.0,0.0,0.0,0.0,8,30,0.0,0.0,3,32,0.0,0.0,21.671526,2.844444,0.83152,9.730209,
1,2,Withdrawals,Withdrawals: AEs,2,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,0.0,0.0,36,117,0.0,0.0,10,106,0.0,0.0,78.328474,3.261538,1.703616,6.244149,
1,2,Withdrawals,Withdrawals: other reasons,3,SUBGROUP_AND_OVERALL,Connor 2008,2008,0.0,0.0,0.0,0.0,4,30,0.0,0.0,4,32,0.0,0.0,31.559581,1.066667,0.292654,3.887796,
1,2,Withdrawals,Withdrawals: other reasons,3,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,0.0,0.0,8,117,0.0,0.0,8,106,0.0,0.0,68.440419,0.905983,0.35246,2.328787,
1,2,Withdrawals,Withdrawals: total,4,SUBGROUP_AND_OVERALL,Connor 2008,2008,0.0,0.0,0.0,0.0,12,30,0.0,0.0,7,32,0.0,0.0,21.91677,1.828571,0.831621,4.020669,
1,2,Withdrawals,Withdrawals: total,4,SUBGROUP_AND_OVERALL,Ondo 2006,2006,0.0,0.0,0.0,0.0,45,117,0.0,0.0,23,106,0.0,0.0,78.08323,1.772575,1.155211,2.719869,
