Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Resumption of menstrual regularity (menstrual cycle length in days),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:412765961360526329
1,2,Body mass index (kg/m2),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,43,,42,1.057752,-1.874218,3.989721,,2.051735,2,0.358485,2.521525,0.707086,0.479513,2.051735,2,0.358485,2.521525,analysis:402823397409012469
1,3,Waist circumference (cm),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397417138943
1,4,Waist-hip ratio,Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397421333251
1,5,Improvement in testosterone level (nmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397425527560
1,6,Total cholesterol (mmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,43,,42,-1.307352,-1.641908,-0.972796,,0.930859,2,0.627865,0.0,7.658996,0.0,0.930859,2,0.627865,0.0,analysis:402823397429459729
1,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,43,,42,-1.097085,-1.38409,-0.81008,,1.431228,2,0.488892,0.0,7.492013,0.0,1.431228,2,0.488892,0.0,analysis:402823397445974821
1,8,High-density lipoprotein (HDL) cholesterol (mmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,43,,42,0.001241,-0.14549,0.147973,,0.048354,2,0.976113,0.0,0.016581,0.986771,0.048354,2,0.976113,0.0,analysis:402823397437586203
1,9,Triglycerides (mmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,43,,42,-0.390216,-0.600223,-0.180208,,3.161306,2,0.205841,36.735003,3.641811,2.71E-4,3.161306,2,0.205841,36.735003,analysis:402823397454101295
1,10,Improvement in high-sensitivity C-reactive protein (nmol/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,42,,42,-7.757247,-20.993512,5.479018,,0.840951,2,0.656735,0.0,1.148657,0.250698,0.840951,2,0.656735,0.0,analysis:402823397462227769
