Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
1,2,After 6 weeks' treatment,1,,9,,11,12.13322,2.4,-6.017272,10.817272,,0.0,0.0,1.0,0.0,0.558841,0.57627,subgroup:429573962729794021
1,2,After 3 months' treatment,2,,19,,18,57.08691,-0.76,-4.640531,3.120531,,0.0,0.0,1.0,0.0,0.383858,0.701084,subgroup:429573969958939110
1,2,After 6 months' treatment,3,,15,,13,30.77987,3.9,-1.384769,9.184769,,0.0,0.0,0.0,100.0,1.446394,0.148067,subgroup:429573976611629543
1,5,After 6 weeks' treatment,1,,9,,11,100.0,0.06,-0.716429,0.836429,0.0,0.0,0.0,1.0,0.0,0.15146,0.879613,subgroup:429573791241480674
1,5,After 3 months' treatment,2,,34,,31,100.0,-0.534967,-1.612544,0.542611,0.509717,6.349536,1.0,0.011741,84.250817,0.973031,0.330538,subgroup:429573798242822627
1,5,After 6 months' treatment,3,,15,,13,100.0,0.1,-0.42524,0.62524,0.0,0.0,0.0,0.0,100.0,0.373156,0.709033,subgroup:429573801699977700
1,6,After 6 weeks' treatment,1,,9,,11,29.8199,-1.56,-2.172654,-0.947346,,0.0,0.0,1.0,0.0,4.99065,1.0E-6,subgroup:429574159535188456
1,6,After 3 months' treatment,2,,19,,18,36.420939,-1.2,-1.754362,-0.645638,,0.0,0.0,1.0,0.0,4.242641,2.2E-5,subgroup:429574164669278697
1,6,After 6 months' treatment,3,,15,,13,33.759161,-1.2,-1.775802,-0.624198,,0.0,0.0,1.0,0.0,4.084665,4.4E-5,subgroup:429574168496843242
1,7,After 6 weeks' treatment,1,,9,,11,29.648705,-1.29,-1.817093,-0.762907,,0.0,0.0,1.0,0.0,4.796791,2.0E-6,subgroup:429574286085466609
1,7,After 3 months' treatment,2,,19,,18,43.199569,-0.9,-1.336667,-0.463333,,0.0,0.0,1.0,0.0,4.039619,5.4E-5,subgroup:429574290571536882
1,7,After 6 months' treatment,3,,15,,13,27.151726,-1.2,-1.750796,-0.649204,,0.0,0.0,1.0,0.0,4.270101,2.0E-5,subgroup:429574294326749683
1,8,After 6 weeks' treatment,1,,9,,11,37.171723,0.02,-0.220667,0.260667,,0.0,0.0,1.0,0.0,0.162878,0.870615,subgroup:429574309488372212
1,8,After 3 months' treatment,2,,19,,18,30.964994,-0.02,-0.283686,0.243686,,0.0,0.0,1.0,0.0,0.148659,0.881823,subgroup:429574319080221173
1,8,After 6 months' treatment,3,,15,,13,31.863283,0.0,-0.259943,0.259943,,0.0,0.0,1.0,0.0,0.0,1.0,subgroup:429574321225607670
1,9,After 6 weeks' treatment,1,,9,,11,37.242558,-0.57,-0.914125,-0.225875,,0.0,0.0,1.0,0.0,3.246439,0.001169,subgroup:429574346913884664
1,9,After 3 months' treatment,2,,19,,18,12.784926,-0.61,-1.197336,-0.022664,,0.0,0.0,1.0,0.0,2.035596,0.041791,subgroup:429574350880123385
1,9,After 6 months' treatment,3,,15,,13,49.972515,-0.2,-0.497078,0.097078,,0.0,0.0,1.0,0.0,1.319497,0.187003,subgroup:429574352888670714
1,10,After 6 weeks' treatment,1,,9,,11,6.21873,-16.19,-69.268006,36.888006,,0.0,0.0,1.0,0.0,0.597834,0.549951,subgroup:429574378036406779
1,10,After 3 months' treatment,2,,19,,18,13.332048,-21.91,-58.160751,14.340751,,0.0,0.0,1.0,0.0,1.184605,0.236174,subgroup:437812263481101794
1,10,After 6 months' treatment,3,,14,,13,80.449222,-4.76,-19.517219,9.997219,,0.0,0.0,1.0,0.0,0.632194,0.52726,subgroup:429574382437018108
1,11,After 6 weeks' treatment,1,,9,,11,39.323844,2.5,-2.116253,7.116253,0.0,0.0,0.0,1.0,0.0,1.061448,0.288487,subgroup:429574407087729149
1,11,After 3 months' treatment,2,,19,,18,32.840529,-5.2,-10.964427,0.564427,0.0,0.0,0.0,0.0,100.0,1.768053,0.077052,subgroup:429574410525747710
1,11,After 6 months' treatment,3,,15,,13,27.835627,1.5,-5.299039,8.299039,0.0,0.0,0.0,1.0,0.0,0.432406,0.665446,subgroup:429574412715436543
