Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Erectile function (AMS sexual),,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,12.7,4.0583,0,183,14.1,4.0137,0,179,0.0,0.0,47.606539,-1.4,-2.231537,-0.568463,
1,1,Erectile function (AMS sexual),,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,10.45,3.69,0,56,10.66,3.95,0,58,0.0,0.0,18.117782,-0.21,-1.612646,1.192646,
1,1,Erectile function (AMS sexual),,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,11.19,3.98,0,237,12.5,3.9,0,79,0.0,0.0,34.275679,-1.31,-2.308176,-0.311824,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,3.4,8.1812,0,303,0.7,8.0998,0,297,0.0,0.0,14.592924,2.7,1.397256,4.002744,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,7.3,7.8,0,15,-1.6,8.5,0,15,0.0,0.0,13.438013,8.9,3.061851,14.738149,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,13.99,10.89,0,91,10.52,10.43,0,95,0.0,0.0,14.300419,3.47,0.403227,6.536773,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,16.4,9.6,0,273,14.2,9.3,0,265,0.0,0.0,14.55995,2.2,0.602948,3.797052,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,11.1,7.7,0,24,11.3,9.1,0,28,0.0,0.0,13.887071,-0.2,-4.766302,4.366302,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,28.12,1.17,0,17,7.26,1.64,0,13,0.0,0.0,14.615926,20.86,19.80924,21.91076,
1,2,Erectile function (IIEF),IIEF-EF,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,3.1,6.9,0,234,1.0,6.0,0,236,0.0,0.0,14.605698,2.1,0.930567,3.269433,
1,2,Erectile function (IIEF),IIEF-5,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,16.9,5.1,0,15,12.2,7.0,0,15,0.0,0.0,17.695152,4.7,0.317095,9.082905,
1,2,Erectile function (IIEF),IIEF-5,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,16.5,5.78,0,105,14.5,5.78,0,65,0.0,0.0,27.723478,2.0,0.212076,3.787924,
1,2,Erectile function (IIEF),IIEF-5,SUBGROUP_AND_OVERALL,Li 2013,2013,0.0,0.0,20.6,3.8,0,42,18.6,3.6,0,43,0.0,0.0,28.446475,2.0,0.425666,3.574334,
1,2,Erectile function (IIEF),IIEF-5,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,19.6,4.18,0,31,12.0,4.71,0,31,0.0,0.0,26.134896,7.6,5.383211,9.816789,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,3.4,8.1812,0,303,0.7,8.0998,0,297,0.0,0.0,10.230426,2.7,1.397256,4.002744,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,7.3,7.8,0,15,-1.6,8.5,0,15,0.0,0.0,9.286038,8.9,3.061851,14.738149,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,17.67,8.38,0,105,14.77,8.38,0,65,0.0,0.0,10.07159,2.9,0.307819,5.492181,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,13.99,10.89,0,91,10.52,10.43,0,95,0.0,0.0,9.988658,3.47,0.403227,6.536773,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Li 2013,2013,0.0,0.0,23.62,5.51,0,42,20.72,5.22,0,43,0.0,0.0,10.118771,2.9,0.617216,5.182784,
